,link,detail
0,https://www.linkedin.com/jobs/view/data-scientist-multiple-openings-at-starbucks-3379637534?refId=j2FB3SGzdNkiGWBtx0okrw%3D%3D&trackingId=UrcFPqW8YdRO2IEPmJg1Dg%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,"Starbucks hiring data scientist - multiple openings in Seattle, Washington, United States | LinkedIn"
1,https://www.linkedin.com/jobs/view/data-scientist-deep-learning-peacock-at-peacock-3390271556?refId=j2FB3SGzdNkiGWBtx0okrw%3D%3D&trackingId=JZxMPmrAe0%2FhQ7UP1JYyNw%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,"Peacock hiring Data Scientist (Deep Learning), Peacock in New York, New York, United States | LinkedIn"
2,https://www.linkedin.com/jobs/view/data-scientist-at-amicus-3390225272?refId=j2FB3SGzdNkiGWBtx0okrw%3D%3D&trackingId=4GMg86jIuimS5AGagynEHg%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,"Amicus hiring Data Scientist in New York, New York, United States | LinkedIn"
3,https://www.linkedin.com/jobs/view/data-scientist-nyc-at-carbonchain-3382422661?refId=j2FB3SGzdNkiGWBtx0okrw%3D%3D&trackingId=n6Jc7vQb%2FPaUBixGPGyu6Q%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,"CarbonChain hiring Data Scientist [NYC] in New York, New York, United States | LinkedIn"
4,https://www.linkedin.com/jobs/view/data-scientist-at-catalist-3388937849?refId=j2FB3SGzdNkiGWBtx0okrw%3D%3D&trackingId=Pwmxhk%2BX1YzGNSPu9gEWtA%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card,"Catalist hiring Data Scientist in Washington, District of Columbia, United States | LinkedIn"
5,https://www.linkedin.com/jobs/view/junior-data-scientist-at-focuskpi-inc-3385020737?refId=j2FB3SGzdNkiGWBtx0okrw%3D%3D&trackingId=okGbMqnK8BrgqMpLSho6xw%3D%3D&position=6&pageNum=0&trk=public_jobs_jserp-result_search-card,"FocusKPI, Inc. hiring Junior Data Scientist in Boston, Massachusetts, United States | LinkedIn"
6,https://www.linkedin.com/jobs/view/data-scientist-full-time-at-bardess-group-ltd-3389875542?refId=j2FB3SGzdNkiGWBtx0okrw%3D%3D&trackingId=ZlmVwE%2BDuWXfiN7XaEErCg%3D%3D&position=7&pageNum=0&trk=public_jobs_jserp-result_search-card,"Bardess Group Ltd hiring Data Scientist Full Time in New York, New York, United States | LinkedIn"
7,https://www.linkedin.com/jobs/view/data-scientist-at-pomeroy-3384652177?refId=j2FB3SGzdNkiGWBtx0okrw%3D%3D&trackingId=AUXjdAt6e0W1RmRHfXZMGw%3D%3D&position=8&pageNum=0&trk=public_jobs_jserp-result_search-card,"Pomeroy hiring Data Scientist in Marietta, Georgia, United States | LinkedIn"
8,https://www.linkedin.com/jobs/view/data-scientist-at-bicp-3378146719?refId=j2FB3SGzdNkiGWBtx0okrw%3D%3D&trackingId=RHZhUUGB3uwFnKGXapgNYQ%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card,"BICP hiring Data Scientist in Beaverton, Oregon, United States | LinkedIn"
9,https://www.linkedin.com/jobs/view/2023-university-graduate-data-scientist-at-uber-3379618648?refId=j2FB3SGzdNkiGWBtx0okrw%3D%3D&trackingId=IQsJnzpHcRoF%2FhYIrgSHDg%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card,"Uber hiring 2023 University Graduate - Data Scientist in San Francisco, California, United States | LinkedIn"
10,https://www.linkedin.com/jobs/view/junior-data-scientist-at-clearml-3393620410?refId=j2FB3SGzdNkiGWBtx0okrw%3D%3D&trackingId=Kp1wQIqtlIgJtRdV6a1VqA%3D%3D&position=11&pageNum=0&trk=public_jobs_jserp-result_search-card,ClearML hiring Junior Data Scientist in United States | LinkedIn
11,https://www.linkedin.com/jobs/view/bio-data-scientist-at-x4-technology-3374644533?refId=j2FB3SGzdNkiGWBtx0okrw%3D%3D&trackingId=CqPRw6kDObQNKCCdKMli2Q%3D%3D&position=12&pageNum=0&trk=public_jobs_jserp-result_search-card,"X4 Technology hiring Bio Data Scientist in Boston, Massachusetts, United States | LinkedIn"
12,https://www.linkedin.com/jobs/view/data-scientist-global-decision-science-at-american-express-3380070410?refId=j2FB3SGzdNkiGWBtx0okrw%3D%3D&trackingId=snlXDmetdhIIboUYHAsqRA%3D%3D&position=13&pageNum=0&trk=public_jobs_jserp-result_search-card,"American Express hiring Data Scientist - Global Decision Science in New York, New York, United States | LinkedIn"
13,https://www.linkedin.com/jobs/view/data-scientist-at-cinemark-3382811471?refId=j2FB3SGzdNkiGWBtx0okrw%3D%3D&trackingId=%2BvfAfLwir3G5MV7ga7VbFQ%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card,"Cinemark hiring Data Scientist in Plano, Texas, United States | LinkedIn"
14,https://www.linkedin.com/jobs/view/data-scientist-at-grammarly-3384155765?refId=j2FB3SGzdNkiGWBtx0okrw%3D%3D&trackingId=rDpwxxk1aoeRhGmgPk8EBQ%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card,"Grammarly hiring Data Scientist in New York, United States | LinkedIn"
15,https://www.linkedin.com/jobs/view/data-scientist-at-lockheed-martin-3376703689?refId=j2FB3SGzdNkiGWBtx0okrw%3D%3D&trackingId=OSgFyfuihWcOI0ZBGHpbrw%3D%3D&position=16&pageNum=0&trk=public_jobs_jserp-result_search-card,"Lockheed Martin hiring Data Scientist in New Mexico, United States | LinkedIn"
16,https://www.linkedin.com/jobs/view/data-scientist-at-uber-3380128037?refId=j2FB3SGzdNkiGWBtx0okrw%3D%3D&trackingId=jXWYQ%2FJj%2BsHtvk%2FAAWV4dA%3D%3D&position=17&pageNum=0&trk=public_jobs_jserp-result_search-card,"Uber hiring Data Scientist in San Francisco, California, United States | LinkedIn"
17,https://www.linkedin.com/jobs/view/data-scientist-at-atrium-3390226105?refId=j2FB3SGzdNkiGWBtx0okrw%3D%3D&trackingId=RrMNr9DhZshyyTnEawAPnw%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card,Atrium hiring Data Scientist in United States | LinkedIn
18,https://www.linkedin.com/jobs/view/data-scientist-at-uber-3380716832?refId=j2FB3SGzdNkiGWBtx0okrw%3D%3D&trackingId=HQym8ozOJ5ecC7O98%2FPGdA%3D%3D&position=19&pageNum=0&trk=public_jobs_jserp-result_search-card,"Uber hiring Data Scientist in Sunnyvale, California, United States | LinkedIn"
